교과목명,학점,,,,,,,,,,,,,,,,,,,,,,,,,,,
기업범죄론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기업실무기초(인사),2,,,,,,,,,,,,,,,,,,,,,,,,,,,
기업운영의기초:수요와공급의균형,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
기초공학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기초반도체공학1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기초불교미술1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
기초수학(인문),1,,,,,,,,,,,,,,,,,,,,,,,,,,,
기초영양학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기초의용전자실험,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기초조소1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
기초프로그래밍,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기초회화1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
기후변화학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
나노과학개론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
나노바이오엔지니어링,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
나노소재응용및실험,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"나의 생각 : 나와 타인, 사회에 대한 인지",3,,,,,,,,,,,,,,,,,,,,,,,,,,,
네트워크개론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
네트워크프로그래밍,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
노동경제학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
노동법,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
노래이면실습1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
노래이면실습3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
노벨상으로보는생명이야기,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
노인복지론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
논리와증명,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
농구,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴미디어시각효과입문,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
다문화사회의삶,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
다문화이해와문화콘텐츠기획,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
다변량및시계열데이터분석,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
다변량해석,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
다큐멘타리분석,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
다큐멘타리제작캡스톤디자인,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
단백질공학 및 실험,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
단백질생화학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
